"","IDComm","Richness","Community","CommunityName","Country","LatDecDeg","LongDecDeg","SingleSpCommunities.IDComm","CountOfSpecies","pts_eco"
"312",653,8,"En Medio De Rio, finca Villa Belmira","En Medio De Rio, finca Villa Belmira","Colombia",5.3356278,-75.4823611,NA,NA,5
"313",654,10,"Jardín Botánico, Universidad de Caldas","Jardín Botánico, Universidad de Caldas","Colombia",5.054595,-75.495678,NA,NA,5
"315",657,8,"Rio Manso, Vereda San Roque","Rio Manso, Vereda San Roque","Colombia",5.6667,-74.7833,NA,NA,7
"317",660,9,"Camino a San Juanito. Monasterio Monterredondo","Camino a San Juanito. Monasterio Monterredondo","Colombia",4.4833,-73.9333,NA,NA,5
"319",663,10,"Reserva Natural Privada - Semillas de Agua","Reserva Natural Privada - Semillas de Agua","Colombia",4.243055556,-75.56194444,NA,NA,3
"320",664,5,"Barbona","Barbona","Colombia",4.3,-75.006667,NA,NA,7
"321",665,6,"Doima","Doima","Colombia",4.426,-74.966,NA,NA,7
"322",667,5,"Salado","Salado","Colombia",4.450556,-75.145,NA,NA,5
"323",668,8,"Rio Coello","Rio Coello","Colombia",4.483333,-75.25,NA,NA,5
"325",670,8,"Dantas","Dantas","Colombia",4.3,-75.433333,NA,NA,3
"328",673,11,"Ecological park Los Alcázares","Ecological park Los Alcázares","Colombia",5.077,-75.48,NA,NA,3
"329",676,5,"Gabriel Arango Restrepo Foundation","Gabriel Arango Restrepo Foundation","Colombia",5.043,-75.444,NA,NA,3
"330",677,11,"El Zancudo","El Zancudo","Colombia",5.059,-75.433,NA,NA,3
"331",678,7,"Rio Blanco outlet","Rio Blanco outlet","Colombia",5.093,-75.42,NA,NA,3
"332",680,5,"Páramo de Letras","Páramo de Letras","Colombia",5.037,-75.329,NA,NA,3
"333",682,5,"Reserva El Caduceo","Reserva El Caduceo","Colombia",3.665416667,-73.65802778,NA,NA,7
"335",686,7,"Arroyo Julian","Arroyo Julian","Colombia",11.21913333,-73.31623333,NA,NA,9
"336",694,7,"Parque Los Nevados","Parque Los Nevados","Colombia",4.983333333,-75.31666667,NA,NA,3
"337",697,9,"Cerro Montezuma","Cerro Montezuma","Colombia",5.016,-76.191,NA,NA,5
"339",699,6,"Reserva Bioandina","Reserva Bioandina","Colombia",4.856154,-73.852763,NA,NA,3
"340",700,9,"Reserva Rogitama","Reserva Rogitama","Colombia",5.795305556,-73.45672222,NA,NA,3
"342",704,14,"Reserva Macanal","Reserva Macanal","Colombia",4.724939,-74.3628,NA,NA,3
"343",705,12,"Quebrada La Vieja","Quebrada La Vieja","Colombia",4.622033,-74.054258,NA,NA,3
"344",708,5,"Reserva Natural La Esperanza","Reserva Natural La Esperanza","Colombia",5.717361111,-71.23716667,NA,NA,8
"345",715,14,"Juntas y Combeima","Juntas y Combeima","Colombia",4.566666667,-75.31666667,NA,NA,3
"347",719,7,"Onzaga Peak","Onzaga Peak","Colombia",6.333333333,-72.73333333,NA,NA,3
"348",721,5,"Virgen del Agua","Virgen del Agua","Colombia",8.219809,-73.391596,NA,NA,4
"350",724,6,"Carrizal","Carrizal","Colombia",5.683333333,-73.46166667,NA,NA,3
"351",725,5,"Chorrera 1","Chorrera 1","Colombia",5.683333333,-73.47861111,NA,NA,3
"352",726,6,"La Colorada","La Colorada","Colombia",5.725,-73.45277778,NA,NA,3
"353",727,5,"Morronegro","Morronegro","Colombia",5.633333333,-73.48333333,NA,NA,3
