"","Locality","Species","P_A","Phylo.Relatedness","Hyp","Iteration"
"267","117","t4",0,0.133333333333333,"Lottery",NA
"268","117","t5",0,0.933333333333333,"Lottery",NA
"269","117","t6",0,0.933333333333333,"Lottery",NA
"270","117","t7",0,0.933333333333333,"Lottery",NA
"271","117","t8",0,0.933333333333333,"Lottery",NA
"272","117","t9",0,0.933333333333333,"Lottery",NA
"273","118","t1",0,0.4,"Lottery",NA
"274","118","t10",0,0.933333333333333,"Lottery",NA
"275","118","t11",0,0.933333333333333,"Lottery",NA
"276","118","t12",0,0.933333333333333,"Lottery",NA
"277","118","t13",1,0.4,"Lottery",NA
"278","118","t14",0,0.133333333333333,"Lottery",NA
"279","118","t15",1,0.4,"Lottery",NA
"280","118","t16",0,0.133333333333333,"Lottery",NA
"281","118","t2",0,0.4,"Lottery",NA
"282","118","t3",1,2,"Lottery",NA
"283","118","t4",0,0.133333333333333,"Lottery",NA
"284","118","t5",0,0.933333333333333,"Lottery",NA
"285","118","t6",0,0.933333333333333,"Lottery",NA
"286","118","t7",0,0.933333333333333,"Lottery",NA
"287","118","t8",0,0.933333333333333,"Lottery",NA
"288","118","t9",0,0.933333333333333,"Lottery",NA
"289","119","t1",0,0.4,"Lottery",NA
"290","119","t10",0,0.933333333333333,"Lottery",NA
"291","119","t11",0,0.933333333333333,"Lottery",NA
"292","119","t12",0,0.933333333333333,"Lottery",NA
"293","119","t13",1,0.4,"Lottery",NA
"294","119","t14",0,0.133333333333333,"Lottery",NA
"295","119","t15",1,0.4,"Lottery",NA
"296","119","t16",0,0.133333333333333,"Lottery",NA
"297","119","t2",0,0.4,"Lottery",NA
"298","119","t3",1,2,"Lottery",NA
"299","119","t4",0,0.133333333333333,"Lottery",NA
"300","119","t5",0,0.933333333333333,"Lottery",NA
"301","119","t6",0,0.933333333333333,"Lottery",NA
"302","119","t7",0,0.933333333333333,"Lottery",NA
"303","119","t8",0,0.933333333333333,"Lottery",NA
"304","119","t9",0,0.933333333333333,"Lottery",NA
"305","12","t1",0,0.933333333333333,"Lottery",NA
"306","12","t10",0,0.133333333333333,"Lottery",NA
"307","12","t11",0,0.4,"Lottery",NA
"308","12","t12",0,0.4,"Lottery",NA
"309","12","t13",0,0.933333333333333,"Lottery",NA
"310","12","t14",0,0.933333333333333,"Lottery",NA
"311","12","t15",0,0.933333333333333,"Lottery",NA
"312","12","t16",0,0.933333333333333,"Lottery",NA
"313","12","t2",0,0.933333333333333,"Lottery",NA
"314","12","t3",0,0.933333333333333,"Lottery",NA
"315","12","t4",0,0.933333333333333,"Lottery",NA
"316","12","t5",0,0.4,"Lottery",NA
"317","12","t6",0,0.4,"Lottery",NA
"318","12","t7",1,2,"Lottery",NA
"319","12","t8",0,0.133333333333333,"Lottery",NA
"320","12","t9",1,2,"Lottery",NA
"321","120","t1",0,0.4,"Lottery",NA
"322","120","t10",0,0.933333333333333,"Lottery",NA
"323","120","t11",0,0.933333333333333,"Lottery",NA
"324","120","t12",0,0.933333333333333,"Lottery",NA
"325","120","t13",1,0.4,"Lottery",NA
"326","120","t14",0,0.133333333333333,"Lottery",NA
"327","120","t15",1,0.4,"Lottery",NA
"328","120","t16",0,0.133333333333333,"Lottery",NA
"329","120","t2",0,0.4,"Lottery",NA
"330","120","t3",1,2,"Lottery",NA
"331","120","t4",0,0.133333333333333,"Lottery",NA
"332","120","t5",0,0.933333333333333,"Lottery",NA
"333","120","t6",0,0.933333333333333,"Lottery",NA
"334","120","t7",0,0.933333333333333,"Lottery",NA
"335","120","t8",0,0.933333333333333,"Lottery",NA
"336","120","t9",0,0.933333333333333,"Lottery",NA
"337","121","t1",0,0.4,"Lottery",NA
"338","121","t10",0,0.933333333333333,"Lottery",NA
"339","121","t11",0,0.933333333333333,"Lottery",NA
"340","121","t12",0,0.933333333333333,"Lottery",NA
"341","121","t13",1,2,"Lottery",NA
"342","121","t14",0,0.133333333333333,"Lottery",NA
"343","121","t15",0,0.4,"Lottery",NA
"344","121","t16",0,0.4,"Lottery",NA
"345","121","t2",0,0.4,"Lottery",NA
"346","121","t3",1,2,"Lottery",NA
"347","121","t4",0,0.133333333333333,"Lottery",NA
"348","121","t5",0,0.933333333333333,"Lottery",NA
"349","121","t6",0,0.933333333333333,"Lottery",NA
"350","121","t7",0,0.933333333333333,"Lottery",NA
"351","121","t8",0,0.933333333333333,"Lottery",NA
"352","121","t9",0,0.933333333333333,"Lottery",NA
"353","13","t1",0,0.933333333333333,"Lottery",NA
"354","13","t10",0,0.133333333333333,"Lottery",NA
"355","13","t11",0,0.4,"Lottery",NA
"356","13","t12",0,0.4,"Lottery",NA
"357","13","t13",0,0.933333333333333,"Lottery",NA
"358","13","t14",0,0.933333333333333,"Lottery",NA
"359","13","t15",0,0.933333333333333,"Lottery",NA
"360","13","t16",0,0.933333333333333,"Lottery",NA
"361","13","t2",0,0.933333333333333,"Lottery",NA
"362","13","t3",0,0.933333333333333,"Lottery",NA
"363","13","t4",0,0.933333333333333,"Lottery",NA
"364","13","t5",0,0.4,"Lottery",NA
"365","13","t6",0,0.4,"Lottery",NA
"366","13","t7",1,2,"Lottery",NA
"367","13","t8",0,0.133333333333333,"Lottery",NA
"368","13","t9",1,2,"Lottery",NA
"369","14","t1",0,0.933333333333333,"Lottery",NA
"370","14","t10",0,0.133333333333333,"Lottery",NA
"371","14","t11",0,0.4,"Lottery",NA
"372","14","t12",0,0.4,"Lottery",NA
"373","14","t13",0,0.933333333333333,"Lottery",NA
"374","14","t14",0,0.933333333333333,"Lottery",NA
"375","14","t15",0,0.933333333333333,"Lottery",NA
"376","14","t16",0,0.933333333333333,"Lottery",NA
"377","14","t2",0,0.933333333333333,"Lottery",NA
"378","14","t3",0,0.933333333333333,"Lottery",NA
"379","14","t4",0,0.933333333333333,"Lottery",NA
"380","14","t5",0,0.4,"Lottery",NA
